SEQ,SRCHWRD_NM,MOBILE_SCCNT,`_PC_SCCNT`,SCCNT_SM,SCCNT_DE
4288,문화누리,283,191,474,2021-12-01
4323,문화누리카드,4445,1467,5912,2021-12-01
4324,문화누리,304,196,500,2021-12-02
4325,문화누리,304,194,498,2021-12-03
4326,문화누리,329,123,452,2021-12-04
4327,문화누리,320,117,437,2021-12-05
4328,문화누리,284,198,482,2021-12-06
4329,문화누리,351,244,595,2021-12-07
4330,문화누리,323,220,543,2021-12-08
4331,문화누리,403,229,632,2021-12-09
4332,문화누리,321,224,545,2021-12-10
4333,문화누리,384,152,536,2021-12-11
4334,문화누리,354,132,486,2021-12-12
4335,문화누리,316,248,564,2021-12-13
4336,문화누리,363,247,610,2021-12-14
4337,문화누리,526,287,813,2021-12-15
4338,문화누리,436,284,720,2021-12-16
4339,문화누리,530,299,829,2021-12-17
4340,문화누리,551,133,684,2021-12-18
4341,문화누리,482,164,646,2021-12-19
4342,문화누리,555,294,849,2021-12-20
4343,문화누리,494,317,811,2021-12-21
4344,문화누리,528,293,821,2021-12-22
4345,문화누리카드,4955,1359,6314,2021-12-02
4346,문화누리카드,4754,1429,6183,2021-12-03
4347,문화누리카드,4724,804,5528,2021-12-04
4348,문화누리카드,4942,900,5842,2021-12-05
4349,문화누리카드,4823,1579,6402,2021-12-06
4350,문화누리카드,5115,1663,6778,2021-12-07
4351,문화누리카드,4844,1622,6466,2021-12-08
4352,문화누리카드,5148,1586,6734,2021-12-09
4353,문화누리카드,4849,1606,6455,2021-12-10
4354,문화누리카드,5102,1022,6124,2021-12-11
4355,문화누리카드,5017,1084,6101,2021-12-12
4356,문화누리카드,5204,1869,7073,2021-12-13
4357,문화누리카드,5016,1830,6846,2021-12-14
4358,문화누리카드,6787,2457,9244,2021-12-15
4359,문화누리카드,6942,2323,9265,2021-12-16
4360,문화누리카드,7038,2189,9227,2021-12-17
4361,문화누리카드,6483,1307,7790,2021-12-18
4362,문화누리카드,6512,1335,7847,2021-12-19
4363,문화누리카드,8117,2590,10707,2021-12-20
4364,문화누리카드,7073,2444,9517,2021-12-21
4365,문화누리카드,6769,2240,9009,2021-12-22
4366,문화누리,528,293,821,2021-12-22
4367,문화누리,464,281,745,2021-12-23
4368,문화누리,434,221,655,2021-12-24
4369,문화누리,518,175,693,2021-12-25
4370,문화누리,479,218,697,2021-12-26
4371,문화누리,592,385,977,2021-12-27
4372,문화누리,774,387,1161,2021-12-28
4373,문화누리,750,436,1186,2021-12-29
4374,문화누리,1063,579,1642,2021-12-30
4375,문화누리,1555,899,2454,2021-12-31
4378,문화누리카드,6769,2240,9009,2021-12-22
4379,문화누리카드,6937,2350,9287,2021-12-23
4380,문화누리카드,6374,1920,8294,2021-12-24
4381,문화누리카드,6738,1386,8124,2021-12-25
4382,문화누리카드,7995,1584,9579,2021-12-26
4383,문화누리카드,8714,2957,11671,2021-12-27
4384,문화누리카드,9670,2907,12577,2021-12-28
4385,문화누리카드,10743,3538,14281,2021-12-29
4386,문화누리카드,13936,3936,17872,2021-12-30
4387,문화누리카드,19497,5741,25238,2021-12-31
