SEQ,SRCHWRD_NM,MOBILE_SCCNT,`_PC_SCCNT`,SCCNT_SM,SCCNT_DE
4258,문화누리,254,207,461,2021-11-01
4259,문화누리,300,190,490,2021-11-02
4260,문화누리,263,169,432,2021-11-03
4261,문화누리,224,198,422,2021-11-04
4262,문화누리,263,192,455,2021-11-05
4263,문화누리,232,91,323,2021-11-06
4264,문화누리,244,104,348,2021-11-07
4265,문화누리,220,203,423,2021-11-08
4266,문화누리,268,172,440,2021-11-09
4267,문화누리,314,193,507,2021-11-10
4268,문화누리,465,249,714,2021-11-11
4269,문화누리,347,196,543,2021-11-12
4270,문화누리,360,137,497,2021-11-13
4271,문화누리,394,131,525,2021-11-14
4272,문화누리,328,234,562,2021-11-15
4273,문화누리,397,212,609,2021-11-16
4274,문화누리,371,213,584,2021-11-17
4275,문화누리,323,179,502,2021-11-18
4276,문화누리,357,185,542,2021-11-19
4277,문화누리,254,108,362,2021-11-20
4278,문화누리,252,85,337,2021-11-21
4279,문화누리,282,214,496,2021-11-22
4280,문화누리,300,204,504,2021-11-23
4281,문화누리,384,204,588,2021-11-24
4282,문화누리,294,236,530,2021-11-25
4283,문화누리,340,183,523,2021-11-26
4284,문화누리,334,116,450,2021-11-27
4285,문화누리,296,129,425,2021-11-28
4286,문화누리,343,222,565,2021-11-29
4287,문화누리,359,235,594,2021-11-30
4293,문화누리카드,4307,1560,5867,2021-11-01
4294,문화누리카드,3830,1335,5165,2021-11-02
4295,문화누리카드,4061,1359,5420,2021-11-03
4296,문화누리카드,4023,1389,5412,2021-11-04
4297,문화누리카드,3724,1164,4888,2021-11-05
4298,문화누리카드,3682,649,4331,2021-11-06
4299,문화누리카드,3488,585,4073,2021-11-07
4300,문화누리카드,3745,1407,5152,2021-11-08
4301,문화누리카드,3619,1312,4931,2021-11-09
4302,문화누리카드,4048,1353,5401,2021-11-10
4303,문화누리카드,12232,3785,16017,2021-11-11
4304,문화누리카드,6171,1851,8022,2021-11-12
4305,문화누리카드,9147,1657,10804,2021-11-13
4306,문화누리카드,10373,1720,12093,2021-11-14
4307,문화누리카드,8079,2442,10521,2021-11-15
4308,문화누리카드,6084,2121,8205,2021-11-16
4309,문화누리카드,5575,1998,7573,2021-11-17
4310,문화누리카드,5638,1996,7634,2021-11-18
4311,문화누리카드,4846,1605,6451,2021-11-19
4312,문화누리카드,4183,863,5046,2021-11-20
4313,문화누리카드,3934,838,4772,2021-11-21
4314,문화누리카드,4510,1685,6195,2021-11-22
4315,문화누리카드,5021,1629,6650,2021-11-23
4316,문화누리카드,4876,1795,6671,2021-11-24
4317,문화누리카드,4549,1510,6059,2021-11-25
4318,문화누리카드,4537,1410,5947,2021-11-26
4319,문화누리카드,4347,824,5171,2021-11-27
4320,문화누리카드,4345,869,5214,2021-11-28
4321,문화누리카드,4971,1827,6798,2021-11-29
4322,문화누리카드,5213,1812,7025,2021-11-30
