SEQ,SRCHWRD_NM,MOBILE_SCCNT,`_PC_SCCNT`,SCCNT_SM,SCCNT_DE
4504,문화누리,284,133,417,2022-03-01
4505,문화누리카드,5019,1126,6145,2022-03-01
4506,문화누리,283,215,498,2022-03-02
4507,문화누리카드,5404,1823,7227,2022-03-02
4508,문화누리,280,206,486,2022-03-03
4509,문화누리카드,5148,1812,6960,2022-03-03
4510,문화누리,294,203,497,2022-03-04
4511,문화누리카드,4840,1619,6459,2022-03-04
4512,문화누리,308,132,440,2022-03-05
4513,문화누리카드,5089,989,6078,2022-03-05
4514,문화누리,247,124,371,2022-03-06
4515,문화누리카드,4197,1003,5200,2022-03-06
4516,문화누리,262,224,486,2022-03-07
4517,문화누리카드,4456,1671,6127,2022-03-07
4518,문화누리,255,175,430,2022-03-08
4519,문화누리카드,4359,1422,5781,2022-03-08
4520,문화누리,245,122,367,2022-03-09
4521,문화누리카드,3766,900,4666,2022-03-09
4522,문화누리,225,178,403,2022-03-10
4523,문화누리카드,3768,1328,5096,2022-03-10
4524,문화누리,219,151,370,2022-03-11
4525,문화누리카드,3899,1262,5161,2022-03-11
4526,문화누리,214,81,295,2022-03-12
4527,문화누리카드,3712,746,4458,2022-03-12
4528,문화누리,203,106,309,2022-03-13
4529,문화누리카드,3253,765,4018,2022-03-13
4530,문화누리,185,168,353,2022-03-14
4531,문화누리카드,3393,1296,4689,2022-03-14
4532,문화누리,185,182,367,2022-03-15
4533,문화누리카드,3561,1305,4866,2022-03-15
4534,문화누리,188,174,362,2022-03-16
4535,문화누리카드,3423,1252,4675,2022-03-16
4536,문화누리,167,143,310,2022-03-17
4537,문화누리카드,3215,1099,4314,2022-03-17
4538,문화누리,247,150,397,2022-03-18
4539,문화누리카드,3211,1138,4349,2022-03-18
4540,문화누리,201,67,268,2022-03-19
4541,문화누리카드,3045,648,3693,2022-03-19
4542,문화누리,165,97,262,2022-03-20
4543,문화누리카드,3025,622,3647,2022-03-20
4544,문화누리,190,156,346,2022-03-21
4545,문화누리카드,3091,1273,4364,2022-03-21
4546,문화누리,165,148,313,2022-03-22
4547,문화누리카드,3161,1072,4233,2022-03-22
4548,문화누리,201,159,360,2022-03-23
4549,문화누리카드,3083,1159,4242,2022-03-23
4550,문화누리,169,137,306,2022-03-24
4551,문화누리카드,3016,986,4002,2022-03-24
4552,문화누리,200,142,342,2022-03-25
4553,문화누리카드,3768,1055,4823,2022-03-25
4554,문화누리,205,70,275,2022-03-26
4555,문화누리카드,3251,594,3845,2022-03-26
4556,문화누리,149,87,236,2022-03-27
4557,문화누리카드,3072,579,3651,2022-03-27
4558,문화누리,162,155,317,2022-03-28
4559,문화누리카드,3227,1142,4369,2022-03-28
4560,문화누리,176,130,306,2022-03-29
4561,문화누리카드,3075,1094,4169,2022-03-29
4562,문화누리,178,131,309,2022-03-30
4563,문화누리카드,3094,1075,4169,2022-03-30
4564,문화누리,206,142,348,2022-03-31
4565,문화누리카드,3145,1002,4147,2022-03-31
